Charity/IPC Name,UENNo,Activities,Registration Date,Financial Size,Sector,Charity Status,Classification,Sector Administrator
Church of Praise,S87SS0022K,Direct Services,03/4/1987,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Church of Joy,S95SS0104J,Training & education,06/8/1997,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
"CHURCH OF CHRIST, MOULMEIN ROAD",S78SS0030C,Direct Services,08/8/1985,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CHURCH OF CHRIST - LIM AH PIN ROAD,S88SS0012K,,08/6/1990,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Chu Sheng Temple,S78SS0057G,"Financial assistance, bursaries & scholarships",01/4/1989,"$500,000 and <$1,000,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Christian Renewal Mission,S95SS0029H,Direct Services,14/10/1999,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE LTD.,201003141H,Training & education,22/2/2012,"$500,000 and <$1,000,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
CHONG PANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T03CC1661B,"Financial assistance, bursaries & scholarships",28/2/2003,"$500,000 and <$1,000,000",Community,Registered with IPC,North West,People's Association
Cherith Baptist Church,S60SS0006J,"Financial assistance, bursaries & scholarships",03/7/1986,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Cheng Hong Welfare Service Society,T04SS0148G,Direct Services,02/7/2004,"$500,000 and <$1,000,000",Health,Registered with IPC,Active Ageing,Ministry of Health
CHEE HWAN KOG CHILDCARE CENTRE,S93CC0969H,Direct Services,20/7/1993,"$500,000 and <$1,000,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
CHANGI HEALTH FUND (LTD.),201133557D,Direct Services,13/12/2011,"$500,000 and <$1,000,000",Unclassified,Deregistered,,Ministry of Health
Changi Bethany Church,T12SS0147D,Supports other Charities,15/3/1989,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
CENTRE FOR FATHERING LIMITED,200101825N,"Public awareness, promotion & advisory",19/9/2001,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Family,Ministry of Social and Family Development
Catholic AIDS Response Effort,T04SS0204E,,07/7/2006,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
CATCH THEM YOUNG LIMITED,201540730N,Direct Services,23/3/2020,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
CAT WELFARE SOCIETY,S99SS0144E,"Public awareness, promotion & advisory",28/6/2004,"$500,000 and <$1,000,000",Others,Registered with IPC,Animal Welfare,"Ministry of Culture, Community and Youth"
CARINGSG LIMITED,202034409E,Direct Services,03/6/2021,"$500,000 and <$1,000,000",,Registered with IPC,Disability (Adult),Ministry of Social and Family Development
CARING FOR LIFE LTD.,201938707Z,Direct Services,11/11/2020,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
CARING FLEET SERVICES LIMITED,201000618K,Direct Services,28/1/2010,"$500,000 and <$1,000,000",,Registered with IPC,Disability (Adult),Ministry of Social and Family Development
CAREGIVERS ALLIANCE LIMITED,201131617N,Training & education,31/7/2012,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Support Groups,Ministry of Social and Family Development
Care for the Elderly Foundation (Singapore),S95SS0134B,Direct Services,17/1/1996,"$500,000 and <$1,000,000",Health,Registered with IPC,Other Community-based Services,Ministry of Health
Care Corner Counselling Centre,S90SS0052D,,23/12/1991,"$500,000 and <$1,000,000",Social and Welfare,Deregistered,Community,Ministry of Social and Family Development
Care Corner - Teck Ghee Youth Centre,T07SS0217B,Direct Services,01/8/2008,"$500,000 and <$1,000,000",Social and Welfare,Deregistered,Children/Youth,Ministry of Social and Family Development
Care Community Church,S84SS0033G,,30/12/1985,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Calvary Community Care,T10SS0047C,Direct Services,01/10/2010,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
BUKIT TIMAH SEU TECK SEAN TONG INSTITUTION LIMITED,201613180H,Direct Services,04/4/2017,"$500,000 and <$1,000,000",,Registered with IPC,TCM Clinic,Ministry of Health
Bukit Timah Seu Teck Sean Tong,S66SS0014H,,26/5/1999,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
BUKIT BATOK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0463F,"Financial assistance, bursaries & scholarships",26/6/1987,"$500,000 and <$1,000,000",Community,Registered with IPC,South West,People's Association
Buddhist Research Society,S81SS0026H,Research,25/3/1985,"$500,000 and <$1,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
BRIDGELIFE COMMUNITIES LTD.,201130551H,Direct Services,12/10/2020,"$500,000 and <$1,000,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Brickland CCC Community Development and Welfare Fund,T20CC0007B,"Financial assistance, bursaries & scholarships",18/11/2020,"$500,000 and <$1,000,000",Community,Registered with IPC,South West,People's Association
Breadline Group,S75SS0039G,"Financial assistance, bursaries & scholarships",12/1/1984,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
Bread of Life (Singapore),S98SS0016H,Direct Services,14/10/1999,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
BRASH TRUST,S84CC0074F,"Financial assistance, bursaries & scholarships",18/9/1984,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Boscombe Life Church,S78SS0038D,Direct Services,25/6/1985,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Bo Tien Welfare Services Society,S97SS0091H,Direct Services,15/9/1997,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
BIRDLIFE INTERNATIONAL (ASIA) LIMITED,201130578K,,05/9/2012,"$500,000 and <$1,000,000",Others,Registered,Environment,"Ministry of Culture, Community and Youth"
Bethany Trinity Presbyterian Church,S88SS0049H,Direct Services,28/5/1993,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Bethany Evangelical Free Church,S60SS0023J,Supports other Charities,28/2/1985,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Bethany Christian Centre,S89SS0020F,Direct Services,24/10/1990,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
BABES PREGNANCY CRISIS SUPPORT LTD.,201314611H,Direct Services,13/9/2013,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
"Assemblies of God of Singapore, The",S71SS0008J,Direct Services,28/5/1985,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
ASSAS INTERNATIONAL SCHOOL (SINGAPORE),201117141R,"Public awareness, promotion & advisory",06/1/2014,"$500,000 and <$1,000,000",Education,Registered,Foreign Educational Institutions/Funds,Ministry of Education
ASIAN BUSINESS LAW INSTITUTE,201500327G,"Public awareness, promotion & advisory",27/10/2016,"$500,000 and <$1,000,000",Others,Registered,Think Tanks,"Ministry of Culture, Community and Youth"
ASEAN CSR NETWORK LTD.,201025962K,"Public awareness, promotion & advisory",30/6/2014,"$500,000 and <$1,000,000",Others,Registered,Think Tanks,"Ministry of Culture, Community and Youth"
ARTSWOK COLLABORATIVE LIMITED,201432448C,"Public awareness, promotion & advisory",29/9/2015,"$500,000 and <$1,000,000",Arts and Heritage,Registered with IPC,Literary Arts,"Ministry of Culture, Community and Youth"
ARTS THEATRE OF SINGAPORE LTD,199500688W,Direct Services,24/10/2017,"$500,000 and <$1,000,000",Arts and Heritage,Registered with IPC,Theatre & Dramatic Arts,"Ministry of Culture, Community and Youth"
ART OUTREACH SINGAPORE LIMITED,200304127K,Training & education,15/10/2003,"$500,000 and <$1,000,000",Arts and Heritage,Registered with IPC,Training & Education,"Ministry of Culture, Community and Youth"
Apex Day Rehabilitation Centre For Elderly,S89SS0091D,Direct Services,11/11/1991,"$500,000 and <$1,000,000",Health,Registered with IPC,Day Rehabilitation Centre,Ministry of Health
Antioch Missions,S95SS0015H,Supports other Charities,20/1/1997,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Angora Brethren Chapel,T03SS0149J,,04/12/2003,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
ANG MO KIO TAMIL METHODIST CHURCH,S87CC0497E,Direct Services,10/9/1987,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
ANG MO KIO PRESBYTERIAN CHURCH,T12SS0071H,"Financial assistance, bursaries & scholarships",23/6/2012,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
ALL SAINTS PRESBYTERIAN CHURCH,T01SS0182C,Direct Services,26/6/2002,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
AIDHA LTD.,201006653E,Training & education,13/1/2011,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
AHMADIYYA MUSLIM MISSION,S90CC0733J,Direct Services,07/5/1990,"$500,000 and <$1,000,000",Religious,Registered,Islam,"Ministry of Culture, Community and Youth"
Adventist Home for the Elders,S80SS0046B,Direct Services,28/7/1986,"$500,000 and <$1,000,000",Social and Welfare,Registered with IPC,Eldercare,Ministry of Social and Family Development
ACS (International) Education Fund,T07CC2027A,Direct Services,26/6/2007,"$500,000 and <$1,000,000",Education,Registered with IPC,Local Educational Institutions/Funds,Ministry of Education
ABUNDANT LIFE FAMILY CHURCH LTD,197700528D,,03/7/1985,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Abundant Life Baptist Church,S89SS0054E,,28/3/1996,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Abundant Grace Presbyterian Church,T13SS0122H,Direct Services,08/3/1989,"$500,000 and <$1,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
ZION SERANGOON BIBLE-PRESBYTERIAN CHURCH,S86SS0063K,Supports other Charities,24/6/1988,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Zion Full Gospel Church,S80SS0022H,,16/8/1985,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Yong-en Care Centre,S96SS0165G,Direct Services,21/10/1997,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
YMCA CHILD DEVELOPMENT CENTRE LIMITED,202128031H,Direct Services,04/3/2022,"$1,000,000 and <$5,000,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Yishun Methodist Mission,T13CC0001E,Direct Services,19/2/2013,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
YISHUN CHRISTIAN CHURCH (LUTHERAN),S88CC0598H,Direct Services,11/10/1988,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Yishun Christian Church (Anglican) Chinese Congregation,T18CC0001H,,,"$1,000,000 and <$5,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
YISHUN CHRISTIAN CHURCH (ANGLICAN),S87CC0543J,,,"$1,000,000 and <$5,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
YCAB ASIA LIMITED,202017416W,Grantmaking,13/6/2022,"$1,000,000 and <$5,000,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
WWFS CONSERVATION FUND,T06CC1999F,"Public awareness, promotion & advisory",07/12/2006,"$1,000,000 and <$5,000,000",Others,Registered with IPC,Environment,"Ministry of Culture, Community and Youth"
World Revival Prayer Fellowship,S74SS0014A,Direct Services,31/10/1984,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Woodlands Social Centre,S99SS0135G,Direct Services,17/4/2002,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
WINGS Counselling Centre,T08CC2118K,Direct Services,19/9/2008,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
Willing Hearts,T05SS0071J,Direct Services,01/12/2008,"$1,000,000 and <$5,000,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
WILDLIFE CONSERVATION SOCIETY SINGAPORE LIMITED,200923473R,,01/10/2010,"$1,000,000 and <$5,000,000",Others,Deregistered,Environment,"Ministry of Culture, Community and Youth"
WE CARE COMMUNITY SERVICES LIMITED,200506089N,"Public awareness, promotion & advisory",22/6/2005,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
Wat Patthar Buddhist Society,S93SS0161H,Direct Services,05/1/1996,"$1,000,000 and <$5,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
VIVA FOUNDATION FOR CHILDREN WITH CANCER,200601578E,Training & education,25/4/2006,"$1,000,000 and <$5,000,000",Health,Registered with IPC,Trust/Research Funds,Ministry of Health
United Women Singapore,S97SS0098B,Research,11/9/2002,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
"Turning Point, The",S91SS0058G,Direct Services,27/7/1992,"$1,000,000 and <$5,000,000",Social and Welfare,Registered with IPC,Support Groups,Ministry of Social and Family Development
TUNG LING PRESCHOOL EDUCATION LIMITED,202115301G,Training & education,31/1/2022,"$1,000,000 and <$5,000,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
TUNG LING BIBLE SCHOOL LTD.,198403071C,Training & education,17/3/1987,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
True Life Bible-Presbyterian Church,T04SS0101D,,04/2/2005,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
True Jesus Church Co-ordination Board (Singapore),T00SS0136A,Direct Services,20/2/2002,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
TRUE BUDDHA SHI CHENG ASSOCIATION,S89SS0046C,"Public awareness, promotion & advisory",05/5/1994,"$1,000,000 and <$5,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
TRANSIENT WORKERS COUNT TOO (TWC2),T04SS0088C,Direct Services,21/6/2006,"$1,000,000 and <$5,000,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
Toa Payoh Seu Teck Sean Tong,S69SS0015H,Direct Services,10/7/1996,"$1,000,000 and <$5,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
TOA PAYOH CHINESE METHODIST CHURCH,S87CC0496J,Direct Services,10/9/1987,"$1,000,000 and <$5,000,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Thong Teck Sian Tong Lian Sin Sia (Thong Teck Charitable Institution),S61SS0173H,Direct Services,14/10/2002,"$1,000,000 and <$5,000,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Thong Teck Home For Senior Citizens,T00SS0072B,,27/9/2000,"$1,000,000 and <$5,000,000",Health,Registered with IPC,Nursing Home,Ministry of Health
Thong Kheng Welfare Services Society,T01SS0095E,Direct Services,07/6/2001,"$1,000,000 and <$5,000,000",,Registered,Disability (Adult),Ministry of Social and Family Development
The Visitor in the Straits Settlements of the Christian Brothers' Schools,T08CC4004A,Supports other Charities,,"$1,000,000 and <$5,000,000",Religious,Exempt Charity,Christianity,"Ministry of Culture, Community and Youth"
